setAuthorName	setAuthorEmail	setOrganization	setExperimentTitle	setName	setDescription	setURI	setTool	setTool(Date)	addAlgorithm	addAlgorithm(URI)	setTargetClass	setStartsAtPosition	setEndsAtPosition	addPerformance	setTargetClass	setStartsAtPosition	setEndsAtPosition	addPerformance
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	QKC	sentence dissimilarity classification	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	QKC	2015	QKC	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				72				81.6
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	ParaDetect	PI using semantic heuristic features	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	ParaDetect	2015	ParaDetect	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				74.7				81.8
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	Vector-based similarity	Additive composition of vectors and cosine distance	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	Vector-based similarity	2015	Vector-based similarity	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				73				82
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	SDS	simple distributional semantic space	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	SDS	2015	SDS	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				73				82.3
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	matrixJcn	JCN WordNet similarity with matrix	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	matrixJcn	2015	matrixJcn	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				74.1				82.4
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	FHS	combination of MT evaluation measures as features	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	FHS	2015	FHS	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				75				82.7
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	PE	product of experts	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	PE	2015	PE	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				76.1				82.7
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	WDDP	dependency-based features	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	WDDP	2015	WDDP	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				75.6				83
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	SHPNM	recursive autoencoder with dynamic pooling	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	SHPNM	2015	SHPNM	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				76.8				83.6
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	MTMETRICS	combination of eight machine translation metrics	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	MTMETRICS	2015	MTMETRICS	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				77.4				84.1
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	Multi-Perspective CNN	Multi-perspective Convolutional NNs and structured similarity layer	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	Multi-Perspective CNN	2015	Multi-Perspective CNN	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				78.6				84.7
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	SAMS-RecNN	Recursive NNs using syntax-aware multi-sense word embeddings	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	SAMS-RecNN	2015	SAMS-RecNN	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				78.6				85.3
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	TF-KLD	Matrix factorization with supervised reweighting	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	TF-KLD	2015	TF-KLD	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				80.4				85.9
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	SUTime	deterministic rule-based	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	SUTime	2013	SUTime	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				74.6				67.38
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	NavyTime (1,2)	rule-based	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	NavyTime (1,2)	2013	NavyTime (1,2)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				78.58				70.97
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	ManTIME (4)	CRF, probabilistic post-processing pipeline, rule-based normaliser	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	ManTIME (4)	2013	ManTIME (4)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				76.92				68.97
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	KUL (2)	Logistic regression, post-processing, rule-based normaliser	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	KUL (2)	2013	KUL (2)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				75.24				62.95
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	JU-CSE	CRF, rule-based normaliser	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	JU-CSE	2013	JU-CSE	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				73.87				63.81
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	HeidelTime (t)	rule-based	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	HeidelTime (t)	2013	HeidelTime (t)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				85.95				77.61
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	FSS-TimEx	rule-based	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	FSS-TimEx	2013	FSS-TimEx	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				68.47				58.24
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	ClearTK (1,2)	SVM, Logistic Regression, third party normaliser	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	ClearTK (1,2)	2013	ClearTK (1,2)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				71.66				64.66
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	ATT (2)	MaxEnt, third party normalisers	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	ATT (2)	2013	ATT (2)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				76.91				65.57
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	Temp: (ESAfeature)	X, 2013	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	Temp: (ESAfeature)	2013	Temp: (ESAfeature)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				68.97				54.55
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	NavyTime (1)	[2]	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	NavyTime (1)	2013	NavyTime (1)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				80.3				67.48
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	KUL (2)	[8]	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	KUL (2)	2013	KUL (2)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				79.32				70.17
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	JU_CSE	[7]	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	JU_CSE	2013	JU_CSE	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				78.62				52.69
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	FSS-TimeEx	[9]	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	FSS-TimeEx	2013	FSS-TimeEx	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				65.06				42.94
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	ClearTK (4)	[6]	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	ClearTK (4)	2013	ClearTK (4)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				78.81				67.87
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	ATT (1)	[5]	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	ATT (1)	2013	ATT (1)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				81.05				71.88
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	Baseline	Memorize	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	Baseline	2013	Baseline	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				0.813				0.966
James Pustejovsky	tempeval@timeml.org	Brandeis University 	Temporal Information Extraction (State of the art)	BluLab: run 1-3	Supervised machine learning	http://aclweb.org/aclwiki/index.php?title=Temporal_Information_Extraction_(State_of_the_art)	BluLab: run 1-3	2013	BluLab: run 1-3	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				0.823				0.941
